title,authors,year,url,source,label,cluster,predicted_label
"Cache-Related Smells in GitLab CI / CD : Comprehensive Catalog, Automated Detection, and Empirical Evidence",Francesco Urdih; Theodoros Theodoropoulos; Uwe Zdun,2026,https://arxiv.org/abs/2604.17890,arxiv,cicd_ai,2,cicd_ai
PPTAM$η$: Energy Aware CI / CD Pipeline for Container Based Applications,Alessandro Aneggi; Xiaozhou Li; Andrea Janes,2026,https://arxiv.org/abs/2602.12081,arxiv,cicd_ai,2,cicd_ai
CUBETESTERAI: Automated JUnit Test Generation using the LLaMA Model,Daniele Gorla; Shivam Kumar; Pietro Nicolaus Roselli Lorenzini; Alireza Alipourfaz,2025,https://arxiv.org/abs/2504.15286,arxiv,cicd_ai,3,cicd_ai
Leveraging DevOps for Scientific Computing,Paul Nuyujukian,2023,https://arxiv.org/abs/2310.08247,arxiv,cicd_ai,2,other
Analyzing the Effects of CI / CD on Open Source Repositories in GitHub and GitLab,Jeffrey Fairbanks; Akshharaa Tharigonda; Nasir U. Eisty,2023,https://arxiv.org/abs/2303.16393,arxiv,cicd_ai,2,cicd_ai
Boiling the Frog: A Multi-Turn Benchmark for Agentic Safety,Piercosma Bisconti; Matteo Prandi; Federico Pierucci; Federico Sartore; Enrico Panai; Laura Caroli; Yue Zhu; Adam Leon Smith; Luca Nannini; Marcello Galisai; Susanna Cifani; Francesco Giarrusso; Marcantonio Bracale Syrnikov; Daniele Nardi,2026,https://arxiv.org/abs/2605.22643,arxiv,other,1,other
Combating Harms of Generative AI in CS1 with Code Review Interviews and a Flipped Classroom,Peter Fowles; Erik Falor; Sulove Bhattarai; John Edwards; Seth Poulsen,2026,https://arxiv.org/abs/2605.21374,arxiv,other,1,other
DynaMate2: Democratization of Agentic AI for Expert-Designed Custom Workflows,Orlando A. Mendible-Barreto; Ajay Vallabh; Ubaldo M. Córdova-Figueroa; Yamil J. Colón,2026,https://arxiv.org/abs/2605.20819,arxiv,other,1,other
Code as Agent Harness,Xuying Ning; Katherine Tieu; Dongqi Fu; Tianxin Wei; Zihao Li; Yuanchen Bei; Jiaru Zou; Mengting Ai; Zhining Liu; Ting-Wei Li; Lingjie Chen; Yanjun Zhao; Ke Yang; Bingxuan Li; Cheng Qian; Gaotang Li; Xiao Lin; Zhichen Zeng; Ruizhong Qiu; Sirui Chen; Yifan Sun; Xiyuan Yang; Ruida Wang; Rui Pan; Chenyuan Yang; et al. (17 additional authors not shown),2026,https://arxiv.org/abs/2605.18747,arxiv,llm_agents,1,llm_agents
From Volume to Value: Preference-Aligned Memory Construction for On-Device RAG,Changmin Lee; Jaemin Kim; Taesik Gong,2026,https://arxiv.org/abs/2605.18271,arxiv,llm_agents,1,llm_agents
A-ProS: Towards Reliable Autonomous Programming Through Multi- Model Feedback,Anika Tabassum; Md Sifat Hossain; Md. Fahim Arefin; Tariqul Islam; Tarannum Shaila Zaman,2026,https://arxiv.org/abs/2605.18073,arxiv,llm_agents,1,other
LLM-Based Static Verification of Code Against Natural- Language Requirements: An Industrial Experience Report,Zhi Quan Zhou; Dave Towey; Tsong Yueh Chen,2026,https://arxiv.org/abs/2605.17926,arxiv,other,1,other
Bridging the Gap on AI -Assisted Scientific Software Development Through Transparency and Traceability,Chaitanya Bhave; Pierre-Clément A. Simon; Casey Icenhour; Lin Yang; Cody J. Permann; Daniel Schwen,2026,https://arxiv.org/abs/2605.17675,arxiv,other,1,other
Rethinking Code Review in the Age of AI : A Vision for Agentic Code Review,Hüseyin Özgür Kamalı; Erdem Tuna; Vahid Haratian; Eray Tüzün,2026,https://arxiv.org/abs/2605.17548,arxiv,other,1,other
Exploring Lightweight Large Language Models for Court View Generation,Zhitian Hou; Tianyong Hao; Nanli Zeng; Zhixiong Chao; Kun Zeng,2026,https://arxiv.org/abs/2605.16770,arxiv,other,1,other
Against the Monolithic Wireless World Model : Why NextG Needs Composable and Agentic Intelligence,Aladin Djuhera; Farhan Ahmed; Vlad C. Andrei; Swanand Ravindra Kadhe; Alecio Binotto; Haris Gacanin; Holger Boche,2026,https://arxiv.org/abs/2605.16689,arxiv,other,1,other
From Prompts to Protocols: An AI Agent for Laboratory Automation,Angelos Angelopoulos; James F. Cahoon; Ron Alterovitz,2026,https://arxiv.org/abs/2605.16552,arxiv,llm_agents,1,other
MANTA: Multi-turn Assessment for Nonhuman Thinking & Alignment,Allen Lu; Isabella Luong; Joyee Chen,2026,https://arxiv.org/abs/2605.16301,arxiv,other,1,other
